id,lon,lat
1,2.338292,48.8663649999863
2,2.35550400000001,48.8685319999864
3,2.33408600000001,48.8407249999862
4,2.34726100000001,48.8515869999864
5,2.339058,48.8516479999863
6,2.339203,48.8516119999863
7,2.29882800000001,48.8772149999864
8,2.35112,48.8776559999864
9,2.322975,48.8966299999864
10,2.379999,48.8615709999863
11,2.37990900000001,48.8616619999864
12,2.39052600000001,48.8522819999863
13,2.39035,48.8522489999863
14,2.40355500000001,48.8398179999863
15,2.415465,48.8451869999863
16,2.39427700000001,48.8795749999864
17,2.38423,48.8363639999863
18,2.39491500000001,48.8802069999864
19,2.381534,48.8452239999863
20,2.34495900000001,48.8225079999863
21,2.354554,48.8228799999863
22,2.354681,48.8235959999863
23,2.354625,48.8236449999862
24,2.354574,48.8236899999862
25,2.348264,48.8279719999863
26,2.346193,48.8277049999863
27,2.31789899999999,48.8336239999862
28,2.304241,48.8316239999863
29,2.304311,48.8316889999863
30,2.260229,48.8407769999863
31,2.275555,48.8599189999864
32,2.334289,48.8964829999864
33,2.336926,48.8827939999864
34,2.347885,48.8959809999864
35,2.398153,48.8795359999864
36,2.39242299999999,48.8741139999864
37,2.40716000000001,48.8728919999864
38,2.407953,48.8664139999864
39,2.405521,48.8681369999863
40,2.34182099999999,48.8565089999863
41,2.34546000000001,48.8592879999864
42,2.345667,48.8592219999864
43,2.345887,48.8591499999863
44,2.348458,48.8596909999863
45,2.340942,48.8606709999863
46,2.34142,48.8605959999864
47,2.341538,48.8605579999863
48,2.34221799999999,48.8568379999864
49,2.341513,48.8603589999863
50,2.341699,48.8605059999864
51,2.342098,48.8600669999863
52,2.34077100000001,48.8593009999864
53,2.340623,48.8589959999863
54,2.34073199999999,48.8589739999863
55,2.341273,48.8615649999863
56,2.340934,48.8589289999863
57,2.341975,48.8566049999863
58,2.341327,48.8591729999863
59,2.34119499999999,48.8613899999863
60,2.34215300000001,48.8564479999863
61,2.34238400000001,48.8598489999863
62,2.342266,48.8598659999863
63,2.340842,48.8604779999864
64,2.347971,48.8637239999863
65,2.341902,48.8570339999864
66,2.342067,48.8568639999863
67,2.342477,48.8569579999863
68,2.342316,48.8568209999864
69,2.342419,48.8568039999863
70,2.342526,48.8567869999864
71,2.342632,48.8567689999863
72,2.342742,48.8567519999863
73,2.342849,48.8567339999864
74,2.342201,48.8561759999863
75,2.342269,48.8563459999863
76,2.34199700000001,48.8563559999863
77,2.34193700000001,48.8564079999863
78,2.341871,48.8564659999863
79,2.342057,48.8565339999863
80,2.341908,48.8566649999863
81,2.34167500000001,48.8566369999863
82,2.34175500000001,48.8568019999863
83,2.34161,48.8566949999863
84,2.341555,48.8567459999863
85,2.341508,48.8567879999863
86,2.34145899999999,48.8568319999863
87,2.34460100000001,48.8584269999863
88,2.344636,48.8585149999863
89,2.34528499999999,48.8593449999863
90,2.346086,48.8590859999863
91,2.34602400000001,48.8588029999863
92,2.345963,48.8587559999864
93,2.345797,48.8589309999863
94,2.344937,48.8588079999864
95,2.345252,48.8586619999863
96,2.34488000000001,48.8586929999863
97,2.34523800000001,48.8585679999863
98,2.344982,48.8582829999864
99,2.34552,48.8581849999863
100,2.34566800000001,48.8581579999863
101,2.345724,48.8582199999864
102,2.345746,48.8582809999863
103,2.40077599999999,48.8589509999863
104,2.345779,48.8583539999863
105,2.34533200000001,48.8585749999864
106,2.345606,48.8587449999864
107,2.345869,48.8585899999863
108,2.346022,48.8583469999863
109,2.346192,48.8583009999864
110,2.34654999999999,48.8582039999863
111,2.347065,48.8581749999863
112,2.3465,48.8589509999863
113,2.34666,48.8588989999863
114,2.346809,48.8588509999863
115,2.34695499999999,48.8588039999863
116,2.347748,48.8585469999863
117,2.347923,48.8584039999864
118,2.34752500000001,48.8582839999863
119,2.342391,48.8613269999864
120,2.345263,48.8581349999863
121,2.345026,48.8579249999863
122,2.344838,48.8582579999863
123,2.344686,48.8582459999864
124,2.344641,48.8580279999864
125,2.343849,48.8582409999863
126,2.34644300000001,48.8585799999864
127,2.344733,48.8583959999863
128,2.34386999999999,48.8586059999864
129,2.348833,48.8606319999863
130,2.34861400000001,48.8606379999863
131,2.34862,48.8605869999864
132,2.34900999999999,48.8605839999863
133,2.34906900000001,48.8604589999864
134,2.348464,48.8603069999864
135,2.34853,48.8602069999863
136,2.34856,48.8600319999864
137,2.34876,48.8599049999863
138,2.348255,48.8599869999863
139,2.348218,48.8598989999864
140,2.348189,48.8598459999864
141,2.348318,48.8597369999863
142,2.34708,48.8590029999864
143,2.346699,48.8591259999864
144,2.346969,48.8592869999863
145,2.34702899999999,48.8592149999864
146,2.34720600000001,48.8594489999863
147,2.347298,48.8593069999864
148,2.347588,48.8591289999863
149,2.347633,48.8592239999863
150,2.34765300000001,48.8592669999863
151,2.34767699999999,48.8593179999864
152,2.347505,48.8599049999863
153,2.347892,48.8592269999864
154,2.347322,48.8595099999863
155,2.34736900000001,48.8595509999864
156,2.347481,48.8595709999863
157,2.34776300000001,48.8594579999863
158,2.34771,48.8595399999864
159,2.347617,48.8596079999863
160,2.347343,48.8596659999863
161,2.347261,48.8597749999863
162,2.347521,48.8597849999864
163,2.34785699999999,48.8596389999864
164,2.347901,48.8596839999863
165,2.347921,48.8598429999863
166,2.34807400000001,48.8598939999864
167,2.347731,48.8598649999864
168,2.347627,48.8598839999863
169,2.347053,48.8641139999864
170,2.34741300000001,48.8599549999863
171,2.347356,48.8600149999864
172,2.347454,48.8601619999863
173,2.347694,48.8601819999864
174,2.348168,48.8601029999864
175,2.348175,48.8603389999864
176,2.347863,48.8603749999863
177,2.347032,48.8604729999863
178,2.346552,48.8601479999864
179,2.34673900000001,48.8602479999863
180,2.346633,48.8600569999863
181,2.3467,48.8599779999863
182,2.34556,48.8603929999863
183,2.34687,48.8602299999863
184,2.34699900000001,48.8602109999863
185,2.346739,48.8599409999863
186,2.346812,48.8598759999864
187,2.34855,48.8634349999864
188,2.346875,48.8598199999863
189,2.346915,48.8597379999863
190,2.34652699999999,48.8592779999863
191,2.346092,48.8593239999864
192,2.345965,48.8597069999864
193,2.346014,48.8597859999863
194,2.34607800000001,48.8598279999863
195,2.346136,48.8598949999864
196,2.346232,48.8599909999864
197,2.345974,48.8604119999863
198,2.345686,48.8605439999864
199,2.347999,48.8626669999864
200,2.344252,48.8600309999864
201,2.344315,48.8601109999864
202,2.34501900000001,48.8599669999864
203,2.34444799999999,48.8602809999863
204,2.34457,48.8604379999864
205,2.344662,48.8605549999863
206,2.344779,48.8607049999864
207,2.345458,48.8604919999863
208,2.345519,48.8605659999863
209,2.34564199999999,48.8606469999863
210,2.345623,48.8607139999863
211,2.34549800000001,48.8607799999863
212,2.345438,48.8608119999864
